000002.SZ,000001.SZ
-0.07392012,0.08101816
-0.0483553,0.13124122
-0.04621111,0.14601365
-0.04318315,0.13236547
-0.05611902,0.105854765
-0.053862493,0.10025814
-0.035711583,0.07784712
-0.04340552,0.048330832
-0.04581908,0.037744287
-0.051344823,0.039519392
-0.04318328,0.042483464
-0.046488736,0.03741552
-0.04436764,0.022218235
-0.049510885,0.00014452264
-0.051583085,-0.001950156
-0.03809137,0.0013774633
-0.04474683,0.026306853
-0.040944453,0.053031832
-0.04115728,0.06902978
-0.039969385,0.08213362
-0.015626889,0.07899233
-0.01610542,0.06274959
-0.017098852,0.04804844
-0.008151279,0.03967233
-0.00404038,0.061857216
0.0031373063,0.060491536
-0.0028172573,0.061286308
0.0053689275,0.052119743
0.007940437,0.03804303
0.013986279,0.052948236
0.015881617,0.041342646
0.0071239946,0.021567445
0.009749674,0.012349598
0.0090379305,0.0035162978
0.012729159,-0.0049683377
0.013158148,-0.016891193
0.005871329,-0.016327817
-0.016337395,-0.01757804
-0.03977596,-0.030846898
-0.060678285,-0.021378875
-0.07926027,-0.017500784
-0.08398563,-0.0030485205
-0.08139099,0.040572528
-0.079376996,0.041739162
-0.07810685,0.029342912
-0.068242475,0.017081946
-0.056060124,0.0026804134
-0.0433976,-0.013581488
-0.031210605,-0.013280604
-0.026370678,-0.019805014
-0.023443129,-0.028378066
-0.010607406,-0.0360254
-0.008341736,-0.045870867
0.0020523332,-0.05962087
0.0032494767,-0.060862366
0.01033794,-0.062784016
0.02215268,-0.067619994
0.032691035,-0.06813884
0.04513474,-0.06342496
0.056790944,-0.06843123
0.057543524,-0.07883869
0.05944613,-0.087238714
0.14121309,-0.088836014
0.16991855,-0.09105407
0.21562153,-0.08883965
0.22907639,-0.08278039
0.23081785,-0.068592474
0.22318596,-0.047913145
0.21353747,-0.038804952
0.20456183,-0.02540746
0.19056611,-0.027018901
0.17307507,-0.03851294
0.17266884,-0.049910586
0.16254124,-0.042161193
0.15454999,-0.03587183
0.14227793,-0.038614776
0.13396701,-0.041283835
0.12868613,-0.035219725
0.11534101,-0.035172384
0.1365834,-0.027551856
0.121772975,-0.0110696
0.10559588,-0.002382815
0.0876766,-0.010199882
0.07734418,-0.020620193
0.06789975,-0.030256588
0.054287653,-0.041452784
0.04347723,-0.04066972
0.03803485,-0.039464246
0.03087645,-0.045236256
0.026707005,-0.04869915
0.031461608,-0.054480676
0.03712061,-0.055606615
0.032650493,-0.054303747
0.0356127,-0.048964735
0.039940584,-0.053722832
0.037926376,-0.06388384
0.063452154,-0.066614196
0.067725934,-0.04920588
0.060903724,-0.046815407
0.09746836,-0.028657135
0.103102624,-0.036358755
0.12716584,-0.04049394
0.15886223,-0.044052985
0.18489482,-0.04153804
0.17356136,-0.024038117
0.16069496,-0.02490282
0.156885,-0.024305176
0.14486167,-0.019981384
0.15970547,-0.020628784
0.15788525,-0.028386246
0.1492456,-0.03173845
0.14163588,-0.04492299
0.1473968,-0.05578142
0.14555447,-0.06452654
0.17755264,-0.07554674
0.17738569,-0.08715147
0.169269,-0.0898352
0.16619441,-0.087793514
0.16006061,-0.07822776
0.15241969,-0.072846964
0.1488114,-0.075610474
0.15261678,-0.072835475
0.1475161,-0.07392396
0.14484197,-0.07349676
0.15167634,-0.06675129
0.15623829,-0.060365837
0.1489808,-0.044334736
0.14397155,-0.042739082
0.1393715,-0.043926563
0.14029106,-0.050655197
0.17531663,-0.059992608
0.19980049,-0.06345539
0.22926947,-0.06995411
0.25073,-0.071593225
0.32149068,-0.040249716
0.35715744,-0.028964218
0.35981488,-0.0104097985
0.3678682,0.017338036
0.36978027,0.026616674
0.35159183,0.017229527
0.3352061,0.014862634
0.33399236,0.01380305
0.31177065,0.0045145396
0.27999154,-0.014042944
0.2470572,-0.026124012
0.24179767,-0.03587046
0.23227626,-0.048044737
0.23598278,-0.04400171
0.22454783,-0.030997362
0.20761135,-0.027054291
0.23015858,-0.031782094
0.23009971,-0.017707936
0.22194427,-0.016491588
0.20899059,-0.018214587
0.1907132,-0.029887509
0.18266147,-0.03220756
0.16881785,-0.0131899305
0.19947216,-0.0054349676
0.23289438,0.006555848
0.23942542,0.034303203
0.24347512,0.049594507
0.2215107,0.037912104
0.22944058,0.038982376
0.20840923,0.039313983
0.18661581,0.029117044
0.2147747,0.012309328
0.2259717,-0.009088326
0.22045887,-0.02220029
0.20527014,-0.0317954
0.19068018,-0.03736415
0.18606742,-0.041540366
0.16799657,-0.047813546
0.15161915,-0.04043014
0.13641436,-0.041843947
0.12888329,-0.044004243
0.12578315,-0.038983088
0.12940973,-0.017430361
0.12299373,-0.008250285
0.1106109,-0.004389569
0.10442703,-0.016011316
0.09921945,-0.030864779
0.09971185,-0.040084433
0.09969982,-0.04154114
0.09668374,-0.032850888
0.09740996,-0.02944265
0.09347351,-0.026102398
0.08899777,-0.02691738
0.088947624,-0.036221053
0.07775992,-0.045231994
0.072576545,-0.045950945
0.07547805,-0.024732005
0.11529013,-0.026623417
0.14001858,-0.03518988
0.14669985,-0.03867018
0.14736593,-0.016463507
0.14163104,-0.018271081
0.14631662,-0.016247574
0.14818212,-0.025015313
0.16175824,-0.034510974
0.17988785,-0.04322635
0.1872728,-0.045141023
0.20170361,-0.04136904
0.25759956,-0.039113265
0.3074012,-0.041964684
0.37033153,-0.033893462
0.3771423,-0.03611597
0.37976462,-0.01974139
0.36640653,-0.011287291
0.362324,-0.017483208
0.3764259,-0.005939346
0.3847551,0.011418849
0.36398786,0.026450846
0.3459796,0.019692525
0.39913508,0.01980012
0.4381374,0.018438017
0.50361395,0.02280806
0.5396009,0.017671628
0.5380628,0.013878781
0.5153061,0.013350081
0.48595703,0.043522775
0.44935584,0.04864061
0.42617515,0.035125412
0.4023545,0.012336329
0.38188964,-0.00030910596
0.36672768,-0.01079388
0.354737,-0.02338665
0.3245477,-0.025356624
0.2934486,-0.020204332
0.32573387,-0.016264956
0.32376572,0.0036896653
0.3118657,0.011092354
0.33639917,0.017754938
0.34042382,0.0100399535
0.32585946,0.003152836
0.31490627,-0.0032828897
0.31417176,0.0028347708
0.30231732,0.010707164
0.27761713,-0.0030181892
0.26377475,-0.010525934
0.24756539,-0.01738279
0.24684991,-0.0010602064
0.23778696,0.0009607859
